,month,month_full,year,no_of_rainy_days,total_rainfall,mean_relative_humidity,mean_sunshine_hrs,mean_surface_temp,wet_bulb_temperature
65,1987-06-01,Jun,1987,15,126.6,80.7,6.8,28.7,26.001527777777774
66,1987-07-01,Jul,1987,11,80.9,81.3,6.7,28.1,25.540188172043013
67,1987-08-01,Aug,1987,16,191.9,83.6,5.1,27.4,25.20483870967742
68,1987-09-01,Sep,1987,11,129.9,82.5,5.4,27.6,25.21027777777778
69,1987-10-01,Oct,1987,9,22.6,82.1,5.8,27.9,25.403897849462364
70,1987-11-01,Nov,1987,17,347.6,84.0,4.5,27.3,25.099861111111114
71,1987-12-01,Dec,1987,11,72.8,84.6,4.8,26.4,24.40981182795699
72,1988-01-01,Jan,1988,15,237.5,84.3,5.9,26.8,24.706989247311828
73,1988-02-01,Feb,1988,9,158.1,83.2,6.7,27.1,24.87528735632184
74,1988-03-01,Mar,1988,15,186.8,85.3,5.2,27.3,25.28682795698925
75,1988-04-01,Apr,1988,13,109.6,84.5,5.4,27.8,25.7025
76,1988-05-01,May,1988,14,229.6,82.7,5.6,28.4,26.008467741935483
77,1988-06-01,Jun,1988,13,252.2,81.6,6.5,28.0,25.459305555555556
78,1988-07-01,Jul,1988,15,305.4,84.0,6.0,27.3,25.204435483870967
79,1988-08-01,Aug,1988,14,80.1,84.9,4.9,27.0,25.002150537634407
80,1988-09-01,Sep,1988,14,440.4,84.5,4.8,27.1,25.004722222222224
81,1988-10-01,Oct,1988,17,134.6,83.2,4.1,27.5,25.170295698924733
82,1988-11-01,Nov,1988,23,401.4,86.8,3.7,26.3,24.58527777777778
83,1988-12-01,Dec,1988,11,62.9,81.1,5.7,26.2,23.718413978494624
84,1989-01-01,Jan,1989,10,189.7,84.1,5.8,26.5,24.39704301075269
85,1989-02-01,Feb,1989,3,52.4,78.3,6.7,26.6,23.703869047619047
86,1989-03-01,Mar,1989,21,305.9,87.6,4.5,26.3,24.72204301075269
87,1989-04-01,Apr,1989,17,198.6,86.4,5.7,27.0,25.190555555555555
88,1989-05-01,May,1989,12,194.0,86.6,5.2,27.3,25.4755376344086
89,1989-06-01,Jun,1989,12,117.6,83.3,6.0,27.5,25.19611111111111
90,1989-07-01,Jul,1989,12,157.6,82.6,6.0,27.7,25.386559139784943
91,1989-08-01,Aug,1989,18,201.0,83.7,5.3,27.1,24.966397849462364
92,1989-09-01,Sep,1989,14,247.3,84.4,5.5,26.9,24.846249999999998
93,1989-10-01,Oct,1989,16,111.0,83.7,5.5,27.1,24.87983870967742
94,1989-11-01,Nov,1989,20,508.4,86.0,5.4,26.7,24.7975
95,1989-12-01,Dec,1989,18,179.7,85.5,4.8,26.3,24.37889784946237
96,1990-01-01,Jan,1990,13,147.4,83.8,5.3,26.2,24.04731182795699
97,1990-02-01,Feb,1990,8,24.1,80.9,8.9,27.6,24.96175595238095
98,1990-03-01,Mar,1990,4,94.2,77.6,8.3,28.2,25.07956989247312
99,1990-04-01,Apr,1990,10,52.4,81.2,6.3,28.5,25.885972222222225
100,1990-05-01,May,1990,11,180.1,81.1,6.5,28.6,25.933064516129033
